Pose,Hole,Y-offset,Z-offset,Y-CapOffset,Z-CapOffset
1,-1,5,15,10.5,21
1,0,15,15,20.5,21
1,1,25,15,30.5,21
2,-1,0,15,5.5,21
2,0,10,15,15.5,21
2,1,20,15,25.5,21
3,-1,0.302,30,5.802,36
3,0,7.302,30,12.802,36
3,1,14.302,30,19.802,36
6,-1,0,30,5.5,36
6,0,10,30,15.5,36
6,1,20,30,25.5,36
7,-1,0.302,20,5.802,26
7,0,7.302,20,12.802,26
7,1,14.302,20,19.802,26
10,-1,5,20,5.5,26
10,0,15,20,15.5,26
10,1,25,20,25.5,26
